Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,5,20:03:59.158033,2024-03-11,20:04:00.959861,0:00:01.801828
Puntuación Global,Alternativa
-0.3382830958419764,4
0.5764027876576274,0.5764027876576274,0.4583443853663061,0.3541752068739638,0.0
C1,C2,C3,C4,C5
0.08333502880608218,0.04079944118631107,0.00911476877566524,0.02643282944942919,0.24740086676805645
0.15068467229880322,0.07392078263714875,0.01407337977130332,0.040301042072368606,0.12367515556599888
0.1742846277538844,0.0871423138769422,0.015135243989153117,0.04066641314257302,0.05045081329717705
0.20202031998816877,0.10101015999408439,0.015395903418453183,0.033072681417417954,0.01710655935383687
0.18281829539873443,0.09140914769936721,0.01454236440671751,0.04120336581903295,0.00830992251812429
0.2106394715707102,0.10682430343943157,0.014895219775357361,0.030542723377752976,0.006770554443344255
0.22473959340094607,0.11236979670047303,0.01483281316446244,0.024646442076303756,0.004494791868018921
0.2350953614385984,0.1175476807192992,0.014730658723051418,0.018227330238119184,0.004463835976682248
0.230561115063051,0.1152805575315255,0.013750331560989183,0.02479226448117747,0.0
Puntuación Global,Alternativa
-0.3382830958419764,4
-0.36767941205972976,2
-0.3686056241719612,3
-0.36967227260659635,5
-0.3810834372102042,6
-0.3843842686367432,8
-0.39006486709575044,7
-0.4026550323456228,1
-0.40708293498554415,0
